x,y,z,marker
5.202,-70.25,-34.873,1
-7.866,1.531,-25.775,2
-9.116,-95.006,-46.324,3
3.721,-25.545,-18.424,0
5.211,-70.244,-34.875,1
-7.877,1.532,-25.771,2
-9.123,-95.006,-46.329,3
3.733,-25.561,-18.4,0
5.189,-70.247,-34.879,1
-7.878,1.531,-25.769,2
-9.125,-95.006,-46.329,3
3.757,-25.582,-18.356,0
5.172,-70.252,-34.876,1
-7.878,1.533,-25.766,2
-9.126,-95,-46.33,3
3.808,-25.599,-18.312,0
5.177,-70.259,-34.868,1
-7.882,1.533,-25.761,2
-9.126,-94.995,-46.328,3
3.832,-25.606,-18.272,0
5.165,-70.257,-34.871,1
-7.876,1.536,-25.759,2
-9.131,-94.988,-46.335,3
3.912,-25.623,-18.233,0
5.17,-70.265,-34.868,1
-7.885,1.537,-25.752,2
-9.137,-94.98,-46.341,3
3.994,-25.631,-18.197,0
5.168,-70.269,-34.865,1
-7.884,1.541,-25.751,2
-9.152,-94.972,-46.34,3
4.042,-25.64,-18.135,0
5.168,-70.271,-34.864,1
-7.878,1.549,-25.751,2
-9.162,-94.965,-46.348,3
4.083,-25.663,-18.091,0
5.161,-70.271,-34.875,1
-7.879,1.546,-25.749,2
-9.156,-94.962,-46.352,3
4.117,-25.678,-18.031,0
5.182,-70.263,-34.879,1
-7.87,1.549,-25.751,2
-9.165,-94.954,-46.356,3
4.156,-25.688,-17.98,0
5.203,-70.251,-34.88,1
-7.864,1.552,-25.754,2
-9.184,-94.947,-46.358,3
4.205,-25.698,-17.922,0
5.217,-70.241,-34.887,1
-7.856,1.557,-25.753,2
-9.193,-94.927,-46.37,3
4.258,-25.718,-17.856,0
5.213,-70.236,-34.888,1
-7.835,1.569,-25.752,2
-9.178,-94.925,-46.371,3
4.288,-25.734,-17.798,0
5.202,-70.234,-34.888,1
-7.826,1.566,-25.749,2
-9.185,-94.925,-46.364,3
4.358,-25.749,-17.742,0
5.181,-70.232,-34.901,1
-7.824,1.568,-25.743,2
-9.183,-94.926,-46.364,3
4.368,-25.738,-17.659,0
5.188,-70.238,-34.898,1
-7.798,1.569,-25.75,2
-9.182,-94.928,-46.364,3
4.38,-25.751,-17.6,0
5.18,-70.25,-34.896,1
-7.804,1.569,-25.744,2
-9.19,-94.932,-46.371,3
4.463,-25.762,-17.518,0
5.168,-70.251,-34.908,1
-7.797,1.565,-25.74,2
-9.196,-94.94,-46.374,3
4.498,-25.792,-17.45,0
5.138,-70.24,-34.899,1
-7.787,1.559,-25.738,2
-9.199,-94.94,-46.376,3
4.53,-25.805,-17.362,0
5.131,-70.231,-34.901,1
-7.789,1.568,-25.733,2
-9.199,-94.948,-46.368,3
4.549,-25.814,-17.304,0
5.124,-70.243,-34.896,1
-7.779,1.559,-25.728,2
-9.197,-94.951,-46.365,3
4.632,-25.937,-17.068,0
5.117,-70.236,-34.905,1
-7.784,1.558,-25.718,2
-9.19,-94.954,-46.366,3
4.686,-25.967,-16.939,0
5.109,-70.229,-34.903,1
-7.79,1.559,-25.71,2
-9.18,-94.96,-46.369,3
4.705,-25.973,-16.881,0
5.115,-70.228,-34.909,1
-7.773,1.566,-25.705,2
-9.177,-94.968,-46.367,3
4.777,-25.964,-16.757,0
5.124,-70.231,-34.9,1
-7.768,1.569,-25.701,2
-9.174,-94.969,-46.369,3
4.773,-25.958,-16.62,0
5.125,-70.232,-34.901,1
-7.768,1.577,-25.696,2
-9.156,-94.983,-46.373,3
4.751,-25.953,-16.522,0
5.123,-70.237,-34.906,1
-7.766,1.579,-25.699,2
-9.134,-94.988,-46.378,3
4.804,-25.949,-16.396,0
5.12,-70.231,-34.897,1
-7.76,1.575,-25.696,2
-9.128,-94.984,-46.385,3
4.818,-25.952,-16.326,0
5.125,-70.219,-34.895,1
-7.752,1.572,-25.69,2
-9.127,-94.98,-46.385,3
4.856,-25.962,-16.225,0
5.123,-70.214,-34.906,1
-7.72,1.568,-25.685,2
-9.118,-94.981,-46.389,3
4.875,-25.969,-16.135,0
5.116,-70.215,-34.908,1
-7.728,1.569,-25.681,2
-9.121,-94.981,-46.395,3
4.899,-25.977,-16.072,0
5.112,-70.214,-34.921,1
-7.722,1.578,-25.683,2
-9.118,-94.978,-46.395,3
4.951,-25.968,-15.968,0
5.13,-70.211,-34.917,1
-7.727,1.574,-25.682,2
-9.124,-94.978,-46.394,3
4.985,-25.953,-15.833,0
5.138,-70.214,-34.919,1
-7.735,1.57,-25.68,2
-9.134,-94.982,-46.396,3
5.004,-25.956,-15.747,0
5.142,-70.21,-34.913,1
