p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
8.969,-3.377,-34.655,8.843,-81.417,-35.817,-7.484,14.953,-21.761,-10.152,-101.613,-46.543
8.971,-3.377,-34.646,8.864,-81.352,-35.89,-7.481,14.951,-21.762,-10.165,-101.638,-46.537
8.963,-3.384,-34.624,8.883,-81.276,-35.975,-7.466,14.948,-21.765,-10.177,-101.638,-46.527
8.951,-3.427,-34.577,8.878,-81.258,-36.098,-7.447,14.944,-21.772,-10.178,-101.639,-46.522
8.965,-3.429,-34.575,8.825,-81.136,-36.328,-7.4,14.937,-21.788,-10.166,-101.667,-46.512
8.971,-3.436,-34.574,8.734,-81.071,-36.422,-7.414,14.937,-21.791,-10.156,-101.682,-46.506
8.966,-3.429,-34.575,8.693,-81,-36.548,-7.42,14.938,-21.79,-10.151,-101.695,-46.494
8.988,-3.447,-34.577,8.734,-80.933,-36.691,-7.405,14.94,-21.791,-10.155,-101.714,-46.49
9.005,-3.44,-34.571,8.76,-80.798,-36.754,-7.41,14.94,-21.791,-10.186,-101.74,-46.472
9.016,-3.461,-34.531,8.753,-80.686,-36.921,-7.42,14.94,-21.791,-10.203,-101.744,-46.447
9.016,-3.47,-34.47,8.73,-80.575,-37.1,-7.429,14.939,-21.788,-10.184,-101.759,-46.443
9.001,-3.465,-34.439,8.665,-80.402,-37.29,-7.429,14.939,-21.783,-10.2,-101.77,-46.435
8.996,-3.476,-34.421,8.661,-80.352,-37.391,-7.422,14.941,-21.776,-10.178,-101.761,-46.418
8.989,-3.473,-34.374,8.68,-80.225,-37.522,-7.434,14.945,-21.771,-10.147,-101.79,-46.404
8.977,-3.5,-34.352,8.649,-80.158,-37.694,-7.437,14.944,-21.768,-10.155,-101.819,-46.385
9.02,-3.485,-34.329,8.608,-79.97,-37.907,-7.431,14.942,-21.771,-10.143,-101.835,-46.353
9.023,-3.482,-34.295,8.634,-79.863,-38.093,-7.429,14.943,-21.771,-10.18,-101.848,-46.337
9.04,-3.479,-34.282,8.605,-79.761,-38.282,-7.422,14.945,-21.772,-10.194,-101.868,-46.323
9.028,-3.465,-34.304,8.605,-79.656,-38.536,-7.429,14.944,-21.771,-10.193,-101.883,-46.291
9.041,-3.499,-34.296,8.57,-79.488,-38.763,-7.433,14.943,-21.775,-10.203,-101.917,-46.295
9.067,-3.525,-34.234,8.549,-79.409,-39,-7.445,14.945,-21.775,-10.189,-101.922,-46.285
9.056,-3.535,-34.209,8.559,-79.319,-39.161,-7.444,14.945,-21.778,-10.164,-101.94,-46.27
9.043,-3.526,-34.222,8.543,-79.221,-39.333,-7.439,14.95,-21.776,-10.189,-101.952,-46.239
9.061,-3.569,-34.205,8.476,-79.102,-39.555,-7.438,14.953,-21.783,-10.21,-101.974,-46.224
9.063,-3.591,-34.176,8.445,-78.938,-39.806,-7.435,14.958,-21.785,-10.234,-101.996,-46.221
9.083,-3.61,-34.09,8.438,-78.779,-40.165,-7.433,14.961,-21.785,-10.218,-102.011,-46.195
9.12,-3.654,-34.011,8.453,-78.652,-40.308,-7.433,14.963,-21.791,-10.221,-101.999,-46.18
9.148,-3.671,-33.953,8.354,-78.577,-40.536,-7.441,14.971,-21.795,-10.221,-101.995,-46.178
9.146,-3.685,-33.866,8.285,-78.466,-40.784,-7.438,14.976,-21.799,-10.209,-102.018,-46.177
9.19,-3.759,-33.797,8.201,-78.259,-41.126,-7.437,14.983,-21.808,-10.23,-102.052,-46.169
9.223,-3.793,-33.71,8.243,-78.12,-41.42,-7.465,14.989,-21.807,-10.279,-102.081,-46.165
9.286,-3.849,-33.556,8.244,-78.02,-41.739,-7.467,14.993,-21.811,-10.328,-102.096,-46.158
9.285,-3.939,-33.433,8.164,-77.905,-42.056,-7.489,14.997,-21.817,-10.32,-102.09,-46.15
9.323,-3.98,-33.302,8.235,-77.781,-42.406,-7.488,15.004,-21.821,-10.342,-102.096,-46.139
9.399,-4.079,-33.154,8.113,-77.649,-42.664,-7.487,14.999,-21.83,-10.343,-102.109,-46.121
9.392,-4.156,-33.011,8.073,-77.486,-42.928,-7.463,14.999,-21.84,-10.323,-102.123,-46.109
9.473,-4.286,-32.831,8.045,-77.362,-43.242,-7.458,14.994,-21.848,-10.298,-102.155,-46.098
9.464,-4.355,-32.671,7.988,-77.338,-43.609,-7.44,14.989,-21.859,-10.287,-102.175,-46.088
9.463,-4.48,-32.469,7.972,-77.155,-43.953,-7.415,14.988,-21.871,-10.279,-102.211,-46.076
9.54,-4.633,-32.248,7.887,-77.107,-44.272,-7.402,14.985,-21.878,-10.318,-102.194,-46.059
9.587,-4.808,-32.015,7.876,-76.943,-44.605,-7.374,14.992,-21.89,-10.323,-102.199,-46.037
9.608,-4.996,-31.769,7.887,-76.833,-44.954,-7.384,14.994,-21.889,-10.301,-102.229,-46.029
9.623,-5.163,-31.492,7.862,-76.747,-45.291,-7.383,14.994,-21.894,-10.315,-102.224,-46.027
9.635,-5.337,-31.216,7.854,-76.648,-45.719,-7.371,15.006,-21.892,-10.305,-102.237,-45.993
9.622,-5.548,-30.95,7.89,-76.535,-46.015,-7.373,15.002,-21.896,-10.27,-102.239,-45.974
9.644,-5.78,-30.673,7.855,-76.458,-46.353,-7.38,15.007,-21.896,-10.26,-102.249,-45.972
9.666,-6.026,-30.345,7.788,-76.415,-46.73,-7.382,15.011,-21.898,-10.25,-102.257,-45.95
9.658,-6.272,-30.03,7.712,-76.337,-47.053,-7.378,15.015,-21.9,-10.239,-102.253,-45.929
9.654,-6.482,-29.67,7.683,-76.292,-47.413,-7.376,15.029,-21.892,-10.258,-102.248,-45.914
9.601,-6.731,-29.308,7.689,-76.207,-47.829,-7.375,15.043,-21.886,-10.239,-102.262,-45.9
9.573,-7.038,-28.959,7.732,-76.135,-48.205,-7.402,15.05,-21.882,-10.227,-102.278,-45.903
9.517,-7.299,-28.598,7.698,-76.102,-48.603,-7.416,15.064,-21.876,-10.205,-102.303,-45.9
9.52,-7.579,-28.243,7.691,-76.058,-48.935,-7.405,15.072,-21.873,-10.229,-102.314,-45.891
9.437,-7.856,-27.863,7.672,-76.022,-49.275,-7.399,15.081,-21.87,-10.229,-102.326,-45.884
9.391,-8.153,-27.476,7.651,-75.999,-49.664,-7.431,15.083,-21.87,-10.239,-102.315,-45.881
9.31,-8.455,-27.068,7.664,-75.928,-50.057,-7.45,15.1,-21.865,-10.251,-102.327,-45.883
9.281,-8.699,-26.676,7.664,-75.896,-50.441,-7.442,15.105,-21.871,-10.237,-102.333,-45.882
9.233,-8.96,-26.274,7.614,-75.889,-50.791,-7.439,15.114,-21.87,-10.216,-102.342,-45.887
9.185,-9.22,-25.819,7.672,-75.884,-51.205,-7.425,15.122,-21.878,-10.202,-102.35,-45.897
9.16,-9.47,-25.367,7.673,-75.883,-51.551,-7.425,15.131,-21.882,-10.209,-102.35,-45.889
9.114,-9.712,-24.948,7.665,-75.883,-51.891,-7.434,15.139,-21.884,-10.212,-102.355,-45.88
9.046,-9.922,-24.546,7.635,-75.871,-52.242,-7.454,15.163,-21.871,-10.223,-102.359,-45.883
9.023,-10.147,-24.134,7.62,-75.911,-52.573,-7.468,15.184,-21.864,-10.228,-102.365,-45.872
8.984,-10.331,-23.73,7.634,-75.941,-52.901,-7.45,15.201,-21.861,-10.218,-102.365,-45.881
8.926,-10.556,-23.337,7.655,-75.97,-53.231,-7.437,15.211,-21.866,-10.205,-102.368,-45.888
8.902,-10.711,-22.934,7.62,-75.992,-53.536,-7.42,15.206,-21.876,-10.194,-102.371,-45.889
8.87,-10.851,-22.551,7.652,-76,-53.853,-7.436,15.22,-21.873,-10.178,-102.376,-45.894
8.825,-10.989,-22.175,7.667,-76.017,-54.16,-7.455,15.227,-21.874,-10.168,-102.384,-45.902
8.81,-11.113,-21.747,7.677,-76.057,-54.445,-7.466,15.23,-21.883,-10.148,-102.373,-45.91
8.803,-11.21,-21.368,7.694,-76.082,-54.675,-7.466,15.244,-21.898,-10.142,-102.386,-45.912
8.791,-11.28,-21.017,7.701,-76.128,-54.914,-7.472,15.26,-21.904,-10.125,-102.4,-45.924
8.773,-11.351,-20.669,7.708,-76.174,-55.157,-7.466,15.267,-21.913,-10.137,-102.384,-45.928
8.775,-11.433,-20.277,7.731,-76.215,-55.373,-7.459,15.28,-21.919,-10.119,-102.383,-45.94
8.768,-11.5,-19.941,7.753,-76.246,-55.618,-7.447,15.284,-21.934,-10.087,-102.39,-45.953
8.733,-11.59,-19.588,7.769,-76.294,-55.811,-7.419,15.287,-21.958,-10.058,-102.381,-45.958
8.722,-11.622,-19.252,7.749,-76.342,-56.004,-7.413,15.284,-21.984,-9.978,-102.408,-45.961
8.718,-11.652,-18.881,7.774,-76.397,-56.095,-7.43,15.291,-22.005,-9.913,-102.414,-45.972
8.708,-11.678,-18.536,7.807,-76.412,-56.235,-7.451,15.296,-22.018,-9.903,-102.415,-45.985
8.701,-11.71,-18.24,7.801,-76.469,-56.325,-7.423,15.301,-22.041,-9.885,-102.435,-46.001
8.689,-11.736,-17.958,7.835,-76.486,-56.429,-7.442,15.306,-22.055,-9.863,-102.412,-46.003
8.69,-11.746,-17.682,7.887,-76.5,-56.559,-7.395,15.313,-22.074,-9.854,-102.417,-46.023
8.687,-11.747,-17.371,7.91,-76.508,-56.629,-7.418,15.313,-22.091,-9.856,-102.418,-46.03
8.673,-11.755,-17.1,7.904,-76.564,-56.632,-7.433,15.325,-22.098,-9.869,-102.413,-46.035
8.667,-11.76,-16.821,7.926,-76.573,-56.682,-7.405,15.33,-22.121,-9.861,-102.421,-46.052
8.651,-11.753,-16.538,7.987,-76.547,-56.75,-7.401,15.329,-22.145,-9.837,-102.419,-46.071
8.639,-11.748,-16.281,8.025,-76.565,-56.769,-7.408,15.322,-22.171,-9.786,-102.388,-46.09
8.634,-11.738,-16.042,8.029,-76.562,-56.766,-7.426,15.328,-22.173,-9.804,-102.39,-46.114
8.612,-11.733,-15.817,8.075,-76.549,-56.758,-7.439,15.327,-22.18,-9.799,-102.407,-46.114
8.597,-11.715,-15.579,8.096,-76.544,-56.751,-7.435,15.336,-22.19,-9.792,-102.427,-46.139
8.586,-11.696,-15.349,8.133,-76.531,-56.745,-7.382,15.351,-22.208,-9.809,-102.429,-46.175
